data,EUR_RON,inflatie,ROBOR3M
2005-01-01,3.8178380952380953,8.953974895397486,15.41
2005-02-01,3.6764650000000003,8.924611973392448,12.12
2005-03-01,3.633778260869565,8.714837286265876,9.3
2005-04-01,3.6292857142857144,10.035645736221554,8.4
2005-05-01,3.6182000000000003,10.062893081761004,8.43
2005-06-01,3.6138761904761907,9.730905137265555,8.48
2005-07-01,3.565525,9.420289855072483,8.42
2005-08-01,3.5057130434782606,8.942872397223711,7.47
2005-09-01,3.510268181818182,8.540454785827588,6.24
2005-10-01,3.5984000000000003,8.150470219435736,4.57
2005-11-01,3.6529818181818183,8.746431352193085,5.22
2005-12-01,3.658925,8.722580645161294,6.36
2006-01-01,3.6444619047619047,8.960573476702516,6.45
2006-02-01,3.540405,8.549618320610698,7.39
2006-03-01,3.5073999999999996,8.447488584474883,7.74
2006-04-01,3.491052631578947,6.977323697981563,7.86
2006-05-01,3.507068181818182,7.304347826086954,8.0
2006-06-01,3.5482727272727272,7.158781273222692,8.14
2006-07-01,3.572304761904762,6.230071130733372,8.57
2006-08-01,3.527721739130435,6.052438127909832,8.72
2006-09-01,3.5270380952380953,5.505481120584665,8.66
2006-10-01,3.5191590909090906,4.8309178743961345,8.62
2006-11-01,3.4954045454545453,4.701670644391398,8.71
2006-12-01,3.414061111111111,4.913363399003079,8.19
2007-01-01,3.3936666666666664,4.064849624060152,6.69
2007-02-01,3.38235,3.86779184247541,7.13
2007-03-01,3.369359090909091,3.7426900584795364,7.49
2007-04-01,3.33489,3.843466107617055,7.33
2007-05-01,3.2849636363636363,3.889789303079416,7.62
2007-06-01,3.226357142857143,3.8834951456310662,7.26
2007-07-01,3.1336636363636363,4.063726622027231,6.92
2007-08-01,3.2237173913043478,5.036968576709788,6.69
2007-09-01,3.3466,6.095589933040868,6.82
2007-10-01,3.352452173913043,6.912442396313367,7.25
2007-11-01,3.4707090909090907,6.770002279462051,7.71
2007-12-01,3.5289166666666665,6.651583710407238,7.93
2008-01-01,3.6930142857142862,7.337999548430796,8.43
2008-02-01,3.65277619047619,8.056872037914697,9.67
2008-03-01,3.721842857142857,8.680947012401363,10.54
2008-04-01,3.642585714285714,8.703454463885162,11.59
2008-05-01,3.6594333333333333,8.513483396478726,10.87
2008-06-01,3.6557190476190478,8.655985758789498,11.29
2008-07-01,3.5791652173913047,9.096960284002664,11.41
2008-08-01,3.5267999999999997,8.073031236251648,12.11
2008-09-01,3.6253681818181818,7.35582154515777,13.0
2008-10-01,3.745408695652174,7.456896551724146,18.21
2008-11-01,3.775295,6.7890691716481655,15.24
2008-12-01,3.91526,6.364022061943153,14.7
2009-01-01,4.232735,6.794278502313844,14.48
2009-02-01,4.283885,6.913116123642427,14.61
2009-03-01,4.2821454545454545,6.721991701244812,14.49
2009-04-01,4.195361904761905,6.4382996285596406,13.61
2009-05-01,4.168945,5.95604846991169,11.23
2009-06-01,4.2126190476190475,5.857055089084584,10.22
2009-07-01,4.2168,5.064063453325196,9.21
2009-08-01,4.218509523809524,4.9460614695705285,9.06
2009-09-01,4.238877272727273,4.926008514088798,9.05
2009-10-01,4.28475,4.2719614921781,10.03
2009-11-01,4.2881238095238094,4.638144742103156,10.19
2009-12-01,4.224804761904762,4.706820901475872,10.18
2010-01-01,4.1408949999999995,5.160527870789822,8.56
2010-02-01,4.117929999999999,4.493065051767942,6.93
2010-03-01,4.087860869565217,4.218506998444793,6.01
2010-04-01,4.128533333333333,4.245831717720061,4.99
2010-05-01,4.17427,4.380693932932744,6.38
2010-06-01,4.23955,4.33352679435095,6.6
2010-07-01,4.261122727272727,7.104142469996133,6.92
2010-08-01,4.238904545454545,7.56400310318075,6.46
2010-09-01,4.264209090909091,7.747295208655336,6.48
2010-10-01,4.279766666666667,7.8668974802846625,6.44
2010-11-01,4.2931,7.699656094764995,6.35
2010-12-01,4.292536363636364,7.94285714285714,6.0
2011-01-01,4.262185714285714,6.96759692826372,5.03
2011-02-01,4.247175,7.608898859599922,5.49
2011-03-01,4.164626086956522,8.02089162469688,5.85
2011-04-01,4.09922,8.406174446717497,5.47
2011-05-01,4.111995454545454,8.486536675951717,5.26
2011-06-01,4.1929428571428575,8.010383830891898,5.25
2011-07-01,4.2405333333333335,4.89788541478402,5.11
2011-08-01,4.2501,4.291381175622067,5.6
2011-09-01,4.282,3.496503496503478,5.77
2011-10-01,4.3238095238095235,3.5841654778887344,5.96
2011-11-01,4.35364090909091,3.4947667198864663,6.01
2011-12-01,4.326725000000001,3.1762837480148187,6.05
